Stock,Tickers,Open,Close,High,Low,IV %,% of low to high
GME,3850,154.89,194.5,210.87,146.1,370.00,30.72
TSLA,1460,600.55,563,620.12,558.79,109.96,9.89
PLTR,996,23.77,22.52,24.58,22.4,123.94,8.87
AAPL,896,120.93,116.36,121,116.21,49.46,3.96
AMC,515,8.53,9.29,9.48,8.31,251.64,12.34
RKT,471,24.87,24.71,27.76,23.85,114.10,14.09
NIO,243,36.97,35.21,39.48,34.9,116.91,11.6
DIS,231,197.31,201.91,203.02,193.79,44.90,4.55
BB,227,9.39,9.75,10.02,9.19,151.13,8.28
AMD,212,78.03,73.96,79,73.86,63.96,6.51
ARKK,209,117,110.26,118.87,109.25,98.50,8.09
GME,3420,217.71,246.9,249.85,208.51,351.00,16.55
TSLA,1740,608.18,673.58,678.09,595.21,93.47,12.22
AMC,1200,9.38,10.5,10.77,9.22,303.81,14.39
PLTR,751,23.38,24.26,24.74,23.1,96.69,6.63
RKT,402,25,25.49,27.39,23.93,null,12.63
AAPL,334,119.03,121.08,122.06,118.79,36.84,2.68
BB,316,10.19,10.45,10.68,10.03,124.59,6.09
NIO,296,37.48,41.35,42.08,36.52,99.98,13.21
DASH,247,132.91,141.48,147.21,130,132.37,11.69
DIS,217,200.18,194.51,201.7,194.37,46.38,3.63
QQQ,201,307.47,311.77,313.73,306.92,36.23,2.17
GME,5230,269.43,265,348.5,172,407.10,50.65
RBLX,2700,64.5,69.5,74.83,60.5,null,19.15
AMC,1950,11.02,9.85,12.47,9.51,252.65,23.74
TSLA,1010,700.3,668.06,717.85,655.06,99.81,8.75
PLTR,597,25.03,24.75,26.24,24.27,99.86,7.51
RKT,384,25.4,25.95,28.68,25.02,133.27,12.76
AAPL,376,121.69,119.98,122.17,119.45,41.38,2.23
BB,333,11.01,10.34,11.01,10.15,132.27,7.81
NIO,223,43.5,41.32,45.26,40.25,107.29,11.07
AMD,126,79.75,77.52,80.04,77.41,50.02,3.29
QQQ,123,316.16,310.88,316.47,310.17,39.24,1.99
GME,2500,241.64,260,281.5,232.6,248.49,17.37
RBLX,1010,74.93,73.9,77.78,70.13,null,9.84
TSLA,928,699.4,699.6,702.5,677.18,83.53,3.6
PLTR,837,25.95,26.73,26.84,25.58,87.52,4.69
AMC,479,10.65,10.28,10.87,9.9,171.48,8.92
NIO,370,44.44,46.03,46.16,42.8,90.02,7.28
AAPL,336,122.54,121.96,123.21,121.26,32.03,1.58
TLRY,273,24.77,28.2,28.3,24.31,254.70,14.1
APHA,246,22.66,24.8,24.88,22.57,129.16,9.28
RKT,192,26.32,25.83,27.84,25.66,93.41,7.83
AMD,164,79.4,81.23,81.89,79.37,39.48,3.08
GME,1940,275,264.5,295.5,262.27,286.25,11.25
TSLA,638,670,693.73,694.88,666.14,93.32,4.14
BB,588,10.47,11.85,11.93,10.36,85.58,13.16
PLTR,557,25.74,26.92,26.92,25.18,99.47,6.46
AMC,492,10.16,11.16,11.4,9.94,128.79,12.81
APHA,276,23.49,24.94,25.75,23.23,133.78,9.79
AAPL,256,120.4,121.03,121.17,119.16,35.79,1.66
